name,id,caption,gt
image0,303566,A market area with various fruits and vegetables .,A market that has several boxes of fruit in it .
image1,4495,A living room filled with furniture and a flat screen tv .,A living room with a couch and chair .
image2,427649,A large body of water filled with boats .,A white boat on some water and some mountains
image3,159282,A vase filled with flowers on top of a table .,A vase filled with yellow flowers next to a window .
image4,2006,A blue and white bus driving down a street .,City bus driving through pedestrian <unk> area near crosswalk .
image5,170739,A couple of elephants standing next to each other .,A pack of elephants standing next to each other in a pen
image6,210789,A little girl in a pink dress holding an umbrella .,An adult standing behind a little girl while holding an umbrella .
image7,175251,A little boy brushing his teeth with a tooth brush .,A young boy brushing his teeth in the bathroom .
image8,377239,A woman holding an umbrella over her head .,A woman with an umbrella on the street .
image9,26204,A city street filled with lots of traffic .,A street filled with lots of traffic next to tall buildings .
image10,212453,A white toilet sitting in a bathroom next to a wall .,A white toilet sitting in a corner of a room .
image11,287714,A sink and mirror in a small bathroom .,A tub and a sink in a rest room
image12,231237,A vase filled with flowers on top of a table .,A vase with red flowers in it on a table .
image13,562059,A close up of a plate of food on a table,A bowl of food is sitting next to fresh apples .
image14,569917,A bathroom with a sink <unk> toilet <unk> and mirror .,A bathroom with a sink <unk> mirror <unk> and toilet and other items
image15,338901,A dog sitting on top of a couch cushion .,A dog sitting on a couch with several blankets .
video0,video7925,A person is cooking,A person is preparing a dish with foil to cook
video1,video1877,A person is cooking,A person is preparing a meal
video2,video4581,A man is talking about a car,A man showing the interior of a car
video3,video499,A man is talking about something,A an elderly man is talking about some <unk> materials
video4,video2697,A car is driving,Man is driving a car
video5,video2407,Models walking down a runway,Women models walking down a run way for a fashion network
video6,video9430,People are playing sports,Many people are playing hockey
video7,video8654,A person is cooking food,A person is cooking food
video8,video615,Someone is playing a game,Someone is playing a video game
video9,video5589,A football player launches a pass down the field,A bunch of men are running across the field playing rugby
video10,video4336,A cartoon car is driving,A cartoon school bus with characters inside
video11,video5840,A girl is singing on stage,A girl is singing a song in stage
video12,video46,A person is drawing,A person is drawing a cartoon
video13,video6021,Gameplay footage of someone playing a game,Person is playing a game and winning some <unk>
video14,video5885,A man speaks to a camera for a video segment,A man is giving a talk about <unk> to a group
video15,video1913,People are playing sports,People are playing sports
